label context intent
安否確認 新潟から佐藤と申します。入浜に兄弟が住んでいますが，連絡が取れません。 探してください。
安否確認 山田太郎さんを探しているんですが、 そちらに情報はありますか。
安否確認 安否確認したいのですが、よろしいでしょうか。 安否確認したいのですが
安否確認 人を探してるんですが、南伊豆に住む哲人稲田という人です。 安否を知りたいんですけど、いいですか。
安否確認 連絡が取れないんだけど、そちら側に情報入ってきていますか。 連絡が取れないんだけど、そちら側に情報入ってきていますか。
安否確認 メールしても返事が無いんですけど、安否の情報はありますか。 メールしても返事が無いんですけど、安否の情報はありますか。
安否確認 私の母と連絡が取れません。 無事避難できたかを知りたい。
安否確認 電話しても返事がないんですけど、 安否の情報はありますか。
安否確認 母が行方不明です。 居場所は知っていますか。
安否確認 自宅が倒壊したことを知らされました。 家族と連絡が取れません。どうすればいいでしょうか。
安否確認 友達の携帯に連絡したのですが、通じません。 通じません。稲田というのですが、何かご存知ですか。
安否確認 災害後、山田哲人という知人に何度も電話したのですが、 返事がないです。情報ありますか。
安否確認 家族の安否確認を確認するため電話をしましたが、電話に出ません。 住所はですが、無事を確認する方法はありますか。
安否確認 父を探しに避難所に行ったのですが、いませんでした。 探す方法がありましたら、教えてください。
安否確認 東京大学の下賀茂寮ですが、学生がゼミ合宿を行っていて、 海岸付近で活動しているが安否が確認できていない。何か情報は入っていませんか。
安否確認 東京大学の本部からも学生の安否の問い合わせがあった。 直ぐに状況を確認してほしい。
安否確認 東京から山田ですが，実家の吉田に親が住んでいますが， 連絡しても通じません。どのような状況になっているのか調べてくれ。
安否確認 兄弟が住んでいます。先ほどから電話を入れているのですが，連絡が取れません。 小浦付近の被害状況はどうなっていますか。できれば安否を確認していただけないでしょうか。
安否確認 東京の南ですが，母がエクレシア南伊豆の祖母の所に行っています。 携帯電話に連絡しても連絡が取れません。エクレシア南伊豆に確認してもらえないか。
安否確認 当校には三浜、三坂地区の生徒が多数在籍している。伊豆半島の西海岸には非常に短時間で大きな津波が来ている。 生徒の安否が非常に不安である。確認できている生徒だけでもいいから教えて欲しい。
安否確認 に親戚が住んでいますが，連絡が取れません。 連絡が取れません。どのような状況になっているのか教えてください。
安否確認 伊豆新聞ですが、町内の安否確認状況を教えてほしい。 特に安否が取れていない方はどなたでしょうか？
安否確認 東京都の吉田です。妻好観光協会で娘が仕事で行っていますが，会社にいっているのかもしれませんが，連絡が取れません。 家に娘がいないか確認してください。早くお願いします。
安否確認 逢ヶ浜の住民に連絡を取ろうとしているが、電話がつながらない。津波による浸水が広範囲にわたっているようなので、近づけない。町で確認してくれないか。 近づけない。町で確認してくれないか。
安否確認 京都の藤田です。落居地区に嫁に出した娘と連絡が取れません。探してください。 落居地区に嫁に出した娘と連絡が取れません。探してください。
安否確認 母がどこにいるか知りません。なにかご存知ですか。 母がどこにいるか知りません。なにかご存知ですか。
安否確認 隆弘を探しているのですが、情報がありませんか。 隆弘を探しているのですが、情報がありませんか。
安否確認 母に電話をさっきからしているのですが、全然通じません。 南伊豆町の伊豆村という地域に住んでいるんですが、何か情報入っていますか、
安否確認 知り合いの稲田にラインしたのですが、返事が来ません。心配なので、どうすればよいでしょうか。 返事が来ません。心配なので、どうすればよいでしょうか。
安否確認 庭につないだままの我が家の犬が心配です。 庭につないだままの我が家の犬が心配です。
安否確認 家族と連絡が取れません。 NAN
安否確認 もしもし、安否確認をしたいんですけど。 もしもし、安否確認をしたいんですけど。
安否確認 家族と連絡が取れません。何か情報入ってますか？ 家族と連絡が取れません。何か情報入ってますか？
