Timestamp	都道府県	災害救助法 適用	市町村名	電話対応を行った災害	その災害の名称はなんですか？（例：平成30年7月豪雨）	災害対策本部の運営業務全体のうち、電話への対応は全体の業務量のうち何％でしたか？	電話対応で最も長かった電話の時間は何分程度でしたか？	その内容はどのようなものでしたか？	電話対応の平均的な時間は何分程度でしたか？	電話回数は平常時と比較してどうですか？	安否確認	被害状況確認	被害状況報告	救助要請	避難所についての問い合わせ	ボランティアについての問い合わせ	支援物資についての問い合わせ	マスコミの問い合わせ	その他（複数記入可、各項目に０〜４の基準も付けてください）（例：〜の問い合わせ（２）、〜の問い合わせ（４））	電話に回答する際、その情報源はなんでしたか。（複数選択可）	有効だった情報源があれば教えてください。	電話に効率良く対応できたと思いますか？	電話対応の際、どのような問題に遭遇しましたか？（複数選択可）	電話対応が原因で業務への負荷を感じましたか。	電話で受ける情報をどう管理しましたか。	デジタル式を選択した場合、どのようなシステムやアプリケーションを使いましたか。	情報を総合的にどう管理し、共有しましたか。	デジタル式を選択した場合、どのようなシステムやアプリケーションを使いましたか。	情報管理する際に直面した問題はなんですか。（複数選択可）	自動音声認識は自治体で役に立つと思いますか？	自動音声認識システムを導入したいと思いますか？	「はい」以外を選択した場合、その理由はなんですか。	自動音声認識システムに欲しい機能はなんですか。	他に付け加えたい情報がございましたら、ご自由にお書きください。
5/20/2019 1:13:22	北海道	N	岩内町	豪雨	Ｈ３０.７月豪雨	６１〜７０％	10分程	報道会社からの電話で被害状況等	5分	平常時より電話回数が多かった。	0	4	2	2	3	0	0	4				1	防災担当なのに電話対応に追われた。詳しいことを聞かれると防災担当まですぐ電話を回される。	5	主にコンピューター端末に入力した。（デジタル式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）			3	どちらとも言えない。			
5/20/2019 1:15:17	兵庫県	N	加西市	豪雨	平成30年7月豪雨	１１〜２０％	10分	災害発生及び支援要請	5分	平常時より電話回数が極めて多かった。	0	3	3	0	1	0	0	4		関係者（例：消防庁や避難所運営者）からの電話やメール。		2	情報不足だった。, 情報の信憑性が確かではなかった。	4	主にコンピューター端末に入力した。（デジタル式）	エクセル作成	主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。			
5/20/2019 1:17:40	愛知県	N	知立市	台風	平成30年台風21,24号	４１〜５０％	数分程度	被害連絡	１～２分程度	平常時と電話回数はほぼ同じだった。	0	2	3	0	2	1	0	2		情報収集を目的として人員を現地に派遣した。		3	個々の電話対応に必要以上の時間が掛かった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 情報量が多すぎて混乱してしまった。	2	どちらとも言えない。			
5/20/2019 1:24:19	愛知県	N	田原市	台風	平成３０年台風１２号、２１号、２４号	２１〜３０％	２０分	長期化した停電の状況について	５分	平常時より電話回数が極めて多かった。	0	0	3	3	3	0	0	4	停電の問い合わせ（極めて多い）	関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。, 中部電力ホームページ		1	情報不足だった。	4	主にコンピューター端末に入力した。（デジタル式）	エクセル	主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	1	どちらとも言えない。			
5/20/2019 1:31:56	大阪府	N	堺市	台風	平成30年台風21号	３１〜４０％	120分	停電に関する苦情	3	平常時より電話回数が極めて多かった。	0	4	4	1	3	1	1	1		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。		2	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	4	主にコンピューター端末に入力した。（デジタル式）	エクセル、本市防災情報システム	主にコンピューターのシステムを活用し、皆と情報共有した。（デジタル式）	エクセル、本市防災情報システム	他の関係者と情報共有が中々うまくできなかった。	4	どちらとも言えない。			
5/20/2019 1:36:52	愛媛県	N	内子町	豪雨	平成30年7月豪雨	１１〜２０％	10分	苦情	2分程度	平常時より電話回数が極めて多かった。	1	1	3	2	3	1	2	2		関係者（例：消防庁や避難所運営者）からの電話やメール。		3	特に大した問題はなかった。	3	主にコンピューター端末に入力した。（デジタル式）	独自システム	主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	3	どちらとも言えない。	情報不足		
5/20/2019 1:36:59	山形県	Y	最上町	豪雨	平成30年8月庄内・最上豪雨	５１〜６０％	30分	避難所の開設、運営について(クレーム）	５～６分程度	平常時より電話回数が極めて多かった。	1	3	3	0	3	0	1	4		関係者（例：消防庁や避難所運営者）からの電話やメール。, 情報収集を目的として人員を現地に派遣した。		2	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。, マスコミ対応で住民からの問い合わせに支障をきたす時があった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	4	はい、積極的に導入したい。			
5/20/2019 1:37:38	群馬県	N	みどり市	豪雨	平成30年8月10日「警報」大雨(土砂災害)	１１〜２０％	5分程度	自主避難所の開設に伴う行政区長との調整	2分程度	平常時より電話回数が多かった。	0	2	3	0	2	0	0	2		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。	全て	3	情報不足だった。	3	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		特に大した問題はなかった。	3	どちらとも言えない。			
5/20/2019 1:55:10	北海道	Y	美唄市	地震	北海道胆振東部地震	６１〜７０％	20分	市の対応に対する苦情	1分	平常時より電話回数が極めて多かった。	1	4	1	0	2	0	1	1		関係者（例：消防庁や避難所運営者）からの電話やメール。		4	情報不足だった。, 個々の電話対応に必要以上の時間が掛かった。	5	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	5	どちらとも言えない。	システムとしては非常に導入したいが、費用が問題である。		
5/20/2019 2:01:03	大阪府	N	羽曳野市	台風	平成30年台風21号	３１〜４０％	30	停電について	3	平常時より電話回数が極めて多かった。	1	4	4	1	3	2	2	3		関係者（例：消防庁や避難所運営者）からの電話やメール。, ウェブ（例：内閣府のウェブページ）から情報を探した。, 情報収集を目的として人員を現地に派遣した。		2	情報不足だった。, どこで必要な情報を取得できるか分からなかった。, 個々の電話対応に必要以上の時間が掛かった。	4	主に紙に書き留めた。（アナログ式）		主に壁に紙を貼り、皆と情報共有した。（アナログ式）		情報が散乱していて、欲しい情報がどこにあるのか分からなかった。, 他の関係者と情報共有が中々うまくできなかった。, 情報量が多すぎて混乱してしまった。	3	どちらとも言えない。			
